file,window,cadence_reb,config,strat_roi,spy_roi,XLK_roi,vs_XLK,QQQ_roi,vs_QQQ,SMH_roi,vs_SMH,EWU_roi,vs_EWU,INIT_roi,vs_INIT,rand_pctile,rand_median_roi
psperm_0737_tech_gpt-51_4x_20-5_202502_20260706_142359_164157_w0.json,2025-02-01,3,20-5,23.35,17.117961900833812,27.164088184848744,-3.8140881848487425,20.63535843410098,2.714641565899022,69.49300150735777,-46.14300150735777,49.611236385816525,-26.261236385816524,39.19055879270232,-15.840558792702318,20.0,45.120543552537725
psperm_0738_tech_gpt-51_4x_10-5_202502_20260706_170845_605429_w0.json,2025-02-01,3,10-5,30.91,17.11794197293386,27.164088184848744,3.7459118151512563,20.63535843410098,10.274641565899021,69.49300150735777,-38.58300150735778,49.611236385816525,-18.701236385816525,39.39024984544136,-8.48024984544136,29.099999999999998,45.120543552537725
psperm_0743_tech_gpt-51_6x_20-10_202502_20260707_120123_800488_w1.json,2025-02-01,5,20-10,31.14,17.11792204504068,27.164088184848744,3.9759118151512567,20.63535843410098,10.504641565899021,69.49300150735777,-38.353001507357774,49.611236385816525,-18.471236385816525,58.01653496732402,-26.87653496732402,20.3,47.85023505790308
psperm_0744_tech_gpt-51_6x_20-5_202502_20260707_112328_528238_w1.json,2025-02-01,5,20-5,24.43,17.11794197293386,27.164088184848744,-2.734088184848744,20.63535843410098,3.7946415658990205,69.49300150735777,-45.063001507357775,49.611236385816525,-25.181236385816526,60.74739973549569,-36.31739973549569,21.7,45.120543552537725
psperm_0745_tech_gpt-51_6x_10-5_202502_20260707_112259_575108_w0.json,2025-02-01,5,10-5,25.35,17.11794197293386,27.164088184848744,-1.8140881848487425,20.63535843410098,4.714641565899022,69.49300150735777,-44.14300150735777,49.611236385816525,-24.261236385816524,41.70533699995838,-16.355336999958375,23.200000000000003,45.120543552537725
psperm_0750_tech_gpt-51_12x_20-10_202502_20260707_171700_159779_w1.json,2025-02-01,11,20-10,46.89,17.11792204504068,27.164088184848744,19.725911815151257,20.63535843410098,26.25464156589902,69.49300150735777,-22.603001507357774,49.611236385816525,-2.7212363858165247,64.3575461337906,-17.467546133790606,47.8,47.85023505790308
psperm_0813_tech_gpt-51_2x_20-10_202503_20260706_144415_844424_w0.json,2025-03-01,1,20-10,23.75,18.89025100349475,27.703299032216222,-3.953299032216222,22.798510271527018,0.951489728472982,82.78752118759236,-59.03752118759236,54.030115728521764,-30.280115728521764,29.58633571230149,-5.836335712301491,6.5,53.1222943870722
psperm_0814_tech_gpt-51_2x_20-5_202503_20260706_164045_175583_w0.json,2025-03-01,1,20-5,24.1,18.89025100349475,27.703299032216222,-3.6032990322162206,22.798510271527018,1.3014897284729834,82.78752118759236,-58.68752118759236,54.030115728521764,-29.930115728521763,34.0934185194339,-9.993418519433895,21.9,48.24023672095581
psperm_0815_tech_gpt-51_2x_10-5_202503_20260706_171035_564384_w0.json,2025-03-01,1,10-5,23.48,18.89027171809936,27.703299032216222,-4.223299032216222,22.798510271527018,0.6814897284729824,82.78752118759236,-59.30752118759236,54.030115728521764,-30.550115728521764,32.97853968376788,-9.498539683767877,21.0,48.24023672095581
psperm_0820_tech_gpt-51_4x_20-10_202503_20260706_125852_018528_w0.json,2025-03-01,3,20-10,29.15,18.89025100349475,27.703299032216222,1.4467009677837765,22.798510271527018,6.3514897284729805,82.78752118759236,-53.63752118759236,54.030115728521764,-24.880115728521766,64.53155065243422,-35.38155065243422,10.6,53.1222943870722
psperm_0821_tech_gpt-51_4x_20-5_202503_20260706_142631_468554_w0.json,2025-03-01,3,20-5,19.77,18.89025100349475,27.703299032216222,-7.9332990322162225,22.798510271527018,-3.0285102715270185,82.78752118759236,-63.017521187592365,54.030115728521764,-34.26011572852177,34.26294444216015,-14.492944442160148,17.1,48.24023672095581
psperm_0822_tech_gpt-51_4x_10-5_202503_20260706_171405_104171_w0.json,2025-03-01,3,10-5,20.48,18.89025100349475,27.703299032216222,-7.223299032216222,22.798510271527018,-2.3185102715270176,82.78752118759236,-62.30752118759236,54.030115728521764,-33.55011572852176,34.0934185194339,-13.613418519433896,17.599999999999998,48.24023672095581
