file,parsed,has_meta,has_roi,has_recs,model,temp,window,period,cfg,roi,n_holdings,model_raw,err
perm_0241_gpt-4o_T0.3_12mo_202502_20260616_173119.json,True,False,False,False,GPT-4o,0.3,202502,12,,,,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202501_20260222_194550.json,True,True,True,True,GPT-4o,0.3,202501,12,10→5,49.180769227963175,5.0,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202501_20260222_235254.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202501_20260222_235258.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202501_20260222_235520.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202501_20260222_235521.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202501_20260222_235641.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202501_20260222_235642.json,True,False,False,False,GPT-4o,0.3,202501,12,,,,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202501_20260222_235755.json,True,True,True,True,GPT-4o,0.3,202501,12,10→5,39.202119202965456,5.0,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202501_20260222_235852.json,True,True,True,True,GPT-4o,0.3,202501,12,10→5,39.34919561462537,5.0,gpt-4o,
perm_0242_gpt-4o_T0.3_12mo_202502_20260616_132947.json,True,True,True,True,GPT-4o,0.3,202502,12,30→15,16.22464713270634,15.0,gpt-4o,
