model,config,window,arm,roi,total_tokens,n_holdings
gpt-5.1,20->10,2024-11,2,A4_reports_scrambled,53.46797000718734,24768,10
gpt-5.1,20->10,2024-11,2,A5_single_matched,48.47458288763221,34776,10
gpt-5.1,20->10,2024-11,2,A6_hold_all,42.80756249242445,25444,19
gpt-5.1,20->10,2024-10,3,A1_single_pool,32.27409771584811,31767,10
gpt-5.1,20->10,2024-10,3,A2_sequential_cut,31.50731449727409,20643,10
gpt-5.1,20->10,2024-10,3,A3_sequential_nocut,31.168936024373888,20762,10
gpt-5.1,20->10,2024-10,3,A4_reports_scrambled,34.751814994904166,20582,10
gpt-5.1,20->10,2024-10,3,A5_single_matched,32.40916942799666,30506,10
gpt-5.1,20->10,2024-10,3,A6_hold_all,32.00772078467746,21520,13
gpt-5.1,20->10,2024-11,1,A1_single_pool,45.28304525919215,35390,10
gpt-5.1,20->10,2024-11,1,A2_sequential_cut,45.66109488889853,25802,10
gpt-5.1,20->10,2024-11,1,A3_sequential_nocut,47.963957204770466,25584,10
gpt-5.1,20->10,2024-11,1,A4_reports_scrambled,39.90908126061466,25481,10
gpt-5.1,20->10,2024-11,1,A5_single_matched,46.59409551526687,35465,10
gpt-5.1,20->10,2024-11,1,A6_hold_all,45.51844137761152,26523,19
gpt-5.1,20->10,2024-10,2,A1_single_pool,35.45178842856847,34244,10
gpt-5.1,20->10,2024-10,2,A2_sequential_cut,37.38655763676148,24175,10
gpt-5.1,20->10,2024-10,2,A3_sequential_nocut,37.57936653995113,24167,10
gpt-5.1,20->10,2024-10,2,A4_reports_scrambled,32.2201596236023,23928,10
gpt-5.1,20->10,2024-10,2,A5_single_matched,37.3792587447979,33935,10
gpt-5.1,20->10,2024-10,2,A6_hold_all,32.51862593021437,24542,18
gpt-5.1,20->10,2024-12,1,A1_single_pool,40.114751986559476,38098,10
gpt-5.1,20->10,2024-12,1,A2_sequential_cut,41.9563217043555,25670,10
gpt-5.1,20->10,2024-12,1,A3_sequential_nocut,35.91904002474735,25467,10
gpt-5.1,20->10,2024-12,1,A4_reports_scrambled,29.343199559242493,25450,10
gpt-5.1,20->10,2024-12,1,A5_single_matched,33.82446047346051,35549,10
gpt-5.1,20->10,2024-12,1,A6_hold_all,38.23736532507233,27020,20
gpt-5.1,20->10,2024-12,2,A1_single_pool,47.32038428243102,37803,10
gpt-5.1,20->10,2024-12,2,A2_sequential_cut,43.18440848502525,25205,10
gpt-5.1,20->10,2024-12,2,A3_sequential_nocut,43.64726841172584,24925,10
gpt-5.1,20->10,2024-12,2,A4_reports_scrambled,40.838974353830345,25022,10
gpt-5.1,20->10,2024-12,2,A5_single_matched,40.597160351224154,35261,10
gpt-5.1,20->10,2024-12,2,A6_hold_all,34.30746852666822,25915,20
gpt-5.1,20->10,2024-12,3,A1_single_pool,35.223533023709166,37276,10
gpt-5.1,20->10,2024-12,3,A2_sequential_cut,35.11250058686106,25460,10
gpt-5.1,20->10,2024-12,3,A3_sequential_nocut,34.58919500286966,25389,10
gpt-5.1,20->10,2024-12,3,A4_reports_scrambled,42.40880231305795,24981,10
gpt-5.1,20->10,2024-12,3,A5_single_matched,36.9985293339623,35718,10
